query_name,generic_class,query_family,query_type,selected_root,document_depth,g_class,g_class_name,g_class_description,is_active,activation_status,activation_score,activation_reason,activation_evidence,DeltaRratio,query_update_volatility_score,max_observed_sharedness_score
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,3.0,G0,Root-only document,Use a simple root document when the query does not require relationship traversal.,False,inactive,0.0,The query requires at least one conceptual relationship.,"{'Rc': 5.0, 'DeltaRratio': 1.0}",1.0,0.932,0.2958825
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,3.0,G1,Root with direct descriptors,Embed or colocate descriptor attributes/entities directly attached to the selected root.,False,inactive,0.0,Descriptor-oriented embedding is not a main driver.,"{'touches_descriptor': False, 'document_depth': 3.0, 'DeltaRratio': 1.0}",1.0,0.932,0.2958825
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,3.0,G2,Root with contained children,Embed containment children when the query benefits from nested document retrieval.,True,active,1.0,The query touches containment relationships suitable for nested document structures.,"{'touches_containment': True, 'document_depth': 3.0, 'DeltaRratio': 1.0}",1.0,0.932,0.2958825
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,3.0,G3,Root with associated references,Represent associative relationships around the root using embedded summaries or references.,True,active,0.8,The query touches associative relationships that may require embedded summaries or references.,"{'touches_association': True, 'n_entities_touched': 6.0, 'remaining_external_edges': False}",1.0,0.932,0.2958825
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,3.0,G4,Deep nested traversal document,Use multi-level nesting or path-oriented documents for deep traversal workloads.,True,active,1.0,The query has a deep traversal profile and benefits from a multi-level document structure.,"{'query_family': 'Update / insertion with relationship creation', 'max_depth_for_query': 3.0, 'document_depth': 3.0, 'DeltaRratio': 1.0}",1.0,0.932,0.2958825
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,3.0,G5,Shared target reference strategy,Prefer references or controlled duplication when target entities are highly shared.,True,active,0.4958825,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,"{'max_observed_sharedness_score': 0.2958825, 'touches_association': True, 'shared_target_entities': ['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction']}",1.0,0.932,0.2958825
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,3.0,G6,Aggregation-oriented document,Use precomputed or read-optimized structures for aggregation and ranking queries.,False,inactive,0.0,Aggregation-oriented configuration is not central.,"{'query_family': 'Update / insertion with relationship creation', 'generic_class': 'QG10', 'DeltaRratio': 1.0}",1.0,0.932,0.2958825
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,3.0,G7,Update-aware document strategy,Avoid excessive embedding when write/update volatility is relevant.,True,active,1.0,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,"{'is_write_query': True, 'query_update_volatility_score': 0.932, 'query_update_volatility_level': 'high'}",1.0,0.932,0.2958825
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,3.0,G8,Hybrid embedded-reference strategy,Use embedding for covered relationships and references for remaining external relationships.,False,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,"{'Re': 0.0, 'DeltaR': 5.0, 'DeltaRratio': 1.0, 'n_remaining_edges': 0.0}",1.0,0.932,0.2958825
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,3.0,G9,Benchmark-required trade-off candidate,"Generate alternative configurations when read gain, update pressure, sharedness, or mapping risk create a design trade-off.",True,active,0.8455765,The query has a design trade-off that should be validated through benchmark alternatives.,"{'DeltaRratio': 1.0, 'query_update_volatility_score': 0.932, 'max_observed_sharedness_score': 0.2958825, 'activation_has_mapping_warning': False}",1.0,0.932,0.2958825
