benchmark_run_id,experiment_id,config_name,activated_class,benchmark_family,scale_factor,scale_label,mongo_db_name,selected_root,primary_collection,embedding_depth,embedding_variant,embedded_entities,snapshot_entities,referenced_entities,query_name,query_group,run_phase,phase_order,repetition,execution_status,error_message,start_ts,end_ts,latency_ms,success,documents_returned,documents_written,bytes_read_estimate,bytes_written_estimate,experiment_goal,query_group_order,execution_db_name,explain_verbosity,param_json,notes,component_index,component_name,operation_type,collection_name,query_shape,projection_shape,sort_shape,limit,raw_explain_path,execution_time_ms,n_returned,total_docs_examined,total_keys_examined,docs_per_returned,keys_per_returned,winning_plan_stage,namespace,query_hash,plan_cache_key,rejected_plans_count,stages,index_names,has_ixscan,has_collscan,has_fetch,has_sort,has_limit,has_update,has_and_sorted,has_or_stage,has_projection,has_lookup,has_group,used_disk,collection_stats_ok,collection_stats_error,collection_count,collection_size_bytes,collection_avg_obj_size_bytes,collection_storage_size_bytes,collection_total_index_size_bytes,collection_total_size_bytes,collection_free_storage_size_bytes,collection_nindexes,collection_scale_factor,collection_index_sizes_json,estimated_docs_examined_bytes,estimated_returned_bytes,docs_examined_collection_ratio,index_to_data_size_ratio
watchitem_g0_sf0.25__control__QG6_EpisodesOfSeries__hot__r01,watchitem_g0_sf0.25,watchitem_g0,G0,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG6_EpisodesOfSeries,control,hot,2,1,completed,,2026-05-29 05:24:54.102037+00:00,,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,count_episodes_by_series,count,episodes,"{""series_watchitem_id"": ""tt12164062""}",{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_B_episodes/query_plan_raw_json/watchitem_g0_sf0_25__QG6_EpisodesOfSeries__c1_count_episodes_by_series_json,1,0,0,4657,,,COUNT,imdb_exec_sf0_25.episodes,CD31AABC,A39B17A6,0,COUNT|COUNT_SCAN,series_watchitem_id_1,False,False,False,False,False,False,False,False,False,False,False,False,True,,2294687.0,553264882.0,241.0,127107072.0,84254720.0,211361792.0,1236992.0,3.0,1.0,"{""_id_"": 25288704, ""episode_watchitem_id_1"": 31850496, ""series_watchitem_id_1"": 27115520}",0.0,0.0,0.0,0.15228640519424835
watchitem_g2_sf0.25__control__QG6_EpisodesOfSeries__hot__r01,watchitem_g2_sf0.25,watchitem_g2,G2,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']",QG6_EpisodesOfSeries,control,hot,2,1,completed,,2026-05-29 05:31:02.595704+00:00,,,,,,,,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,count_episodes_by_series,count,episodes,"{""series_watchitem_id"": ""tt12164062""}",{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_B_episodes/query_plan_raw_json/watchitem_g2_sf0_25__QG6_EpisodesOfSeries__c1_count_episodes_by_series_json,1,0,0,4657,,,COUNT,imdb_exec_sf0_25.episodes,CD31AABC,A39B17A6,0,COUNT|COUNT_SCAN,series_watchitem_id_1,False,False,False,False,False,False,False,False,False,False,False,False,True,,2294687.0,553264882.0,241.0,127107072.0,84254720.0,211361792.0,1236992.0,3.0,1.0,"{""_id_"": 25288704, ""episode_watchitem_id_1"": 31850496, ""series_watchitem_id_1"": 27115520}",0.0,0.0,0.0,0.15228640519424835
watchitem_g3_sf0.25__secondary_affected__QG6_EpisodesOfSeries__hot__r01,watchitem_g3_sf0.25,watchitem_g3,G3,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g3,WatchItem,watchitems,1,structural_component,"['Episode', 'Movie', 'Series']",[],['Genre'],QG6_EpisodesOfSeries,secondary_affected,hot,2,1,completed,,2026-05-29 05:37:18.392963+00:00,,,,,,,,"Testar a configuração watchitem_g3 (G3) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,count_episodes_by_series,count,episodes,"{""series_watchitem_id"": ""tt12164062""}",{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_B_episodes/query_plan_raw_json/watchitem_g3_sf0_25__QG6_EpisodesOfSeries__c1_count_episodes_by_series_json,0,0,0,4657,,,COUNT,imdb_exec_sf0_25.episodes,CD31AABC,A39B17A6,0,COUNT|COUNT_SCAN,series_watchitem_id_1,False,False,False,False,False,False,False,False,False,False,False,False,True,,2294687.0,553264882.0,241.0,127107072.0,84254720.0,211361792.0,1236992.0,3.0,1.0,"{""_id_"": 25288704, ""episode_watchitem_id_1"": 31850496, ""series_watchitem_id_1"": 27115520}",0.0,0.0,0.0,0.15228640519424835
watchitem_g4_sf0.25__control__QG6_EpisodesOfSeries__hot__r01,watchitem_g4_sf0.25,watchitem_g4,G4,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g4,WatchItem,watchitems,1,associative_partial,['Role'],[],"['Person', 'Series', 'Episode']",QG6_EpisodesOfSeries,control,hot,2,1,completed,,2026-05-29 06:01:39.272146+00:00,,,,,,,,"Testar a configuração watchitem_g4 (G4) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,count_episodes_by_series,count,episodes,"{""series_watchitem_id"": ""tt12164062""}",{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_B_episodes/query_plan_raw_json/watchitem_g4_sf0_25__QG6_EpisodesOfSeries__c1_count_episodes_by_series_json,1,0,0,4657,,,COUNT,imdb_exec_sf0_25.episodes,CD31AABC,A39B17A6,0,COUNT|COUNT_SCAN,series_watchitem_id_1,False,False,False,False,False,False,False,False,False,False,False,False,True,,2294687.0,553264882.0,241.0,127107072.0,84254720.0,211361792.0,1236992.0,3.0,1.0,"{""_id_"": 25288704, ""episode_watchitem_id_1"": 31850496, ""series_watchitem_id_1"": 27115520}",0.0,0.0,0.0,0.15228640519424835
watchitem_g5_sf0.25__control__QG6_EpisodesOfSeries__hot__r01,watchitem_g5_sf0.25,watchitem_g5,G5,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g5,WatchItem,watchitems,2,associative_snapshot,['Role'],['Person'],"['Series', 'Episode']",QG6_EpisodesOfSeries,control,hot,2,1,completed,,2026-05-29 06:32:19.577528+00:00,,,,,,,,"Testar a configuração watchitem_g5 (G5) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,count_episodes_by_series,count,episodes,"{""series_watchitem_id"": ""tt12164062""}",{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_B_episodes/query_plan_raw_json/watchitem_g5_sf0_25__QG6_EpisodesOfSeries__c1_count_episodes_by_series_json,1,0,0,4657,,,COUNT,imdb_exec_sf0_25.episodes,CD31AABC,A39B17A6,0,COUNT|COUNT_SCAN,series_watchitem_id_1,False,False,False,False,False,False,False,False,False,False,False,False,True,,2294687.0,553264882.0,241.0,127107072.0,84254720.0,211361792.0,1236992.0,3.0,1.0,"{""_id_"": 25288704, ""episode_watchitem_id_1"": 31850496, ""series_watchitem_id_1"": 27115520}",0.0,0.0,0.0,0.15228640519424835
watchitem_g6_sf0.25__control__QG6_EpisodesOfSeries__hot__r01,watchitem_g6_sf0.25,watchitem_g6,G6,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g6,WatchItem,watchitems,2,associative_full,"['Role', 'Person']",[],"['Series', 'Episode']",QG6_EpisodesOfSeries,control,hot,2,1,completed,,2026-05-29 07:02:57.976640+00:00,,,,,,,,"Testar a configuração watchitem_g6 (G6) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,count_episodes_by_series,count,episodes,"{""series_watchitem_id"": ""tt12164062""}",{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_B_episodes/query_plan_raw_json/watchitem_g6_sf0_25__QG6_EpisodesOfSeries__c1_count_episodes_by_series_json,1,0,0,4657,,,COUNT,imdb_exec_sf0_25.episodes,CD31AABC,A39B17A6,0,COUNT|COUNT_SCAN,series_watchitem_id_1,False,False,False,False,False,False,False,False,False,False,False,False,True,,2294687.0,553264882.0,241.0,127107072.0,84254720.0,211361792.0,1236992.0,3.0,1.0,"{""_id_"": 25288704, ""episode_watchitem_id_1"": 31850496, ""series_watchitem_id_1"": 27115520}",0.0,0.0,0.0,0.15228640519424835
series_g7_sf0.25__primary__QG6_EpisodesOfSeries__hot__r01,series_g7_sf0.25,series_g7,G7,containment_family,0.25,sf0.25,imdb_mongo_sf0.25_series_g7,Series,series,0,containment_baseline,[],[],['Episode'],QG6_EpisodesOfSeries,primary,hot,2,1,completed,,2026-05-29 07:08:43.006550+00:00,,,,,,,,"Testar a configuração series_g7 (G7) na família containment_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,count_episodes_by_series,count,episodes,"{""series_watchitem_id"": ""tt12164062""}",{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_B_episodes/query_plan_raw_json/series_g7_sf0_25__QG6_EpisodesOfSeries__c1_count_episodes_by_series_json,1,0,0,4657,,,COUNT,imdb_exec_sf0_25.episodes,CD31AABC,A39B17A6,0,COUNT|COUNT_SCAN,series_watchitem_id_1,False,False,False,False,False,False,False,False,False,False,False,False,True,,2294687.0,553264882.0,241.0,127107072.0,84254720.0,211361792.0,1236992.0,3.0,1.0,"{""_id_"": 25288704, ""episode_watchitem_id_1"": 31850496, ""series_watchitem_id_1"": 27115520}",0.0,0.0,0.0,0.15228640519424835
series_g8_sf0.25__primary__QG6_EpisodesOfSeries__hot__r01,series_g8_sf0.25,series_g8,G8,containment_family,0.25,sf0.25,imdb_mongo_sf0.25_series_g8,Series,series,1,containment_reduced,['Episode'],[],[],QG6_EpisodesOfSeries,primary,hot,2,1,completed,,2026-05-29 07:11:11.560994+00:00,,,,,,,,"Testar a configuração series_g8 (G8) na família containment_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,series_embedded_episodes_lookup,find,series,"{""series_watchitem_id"": ""tt12164062""}","{""episodes_embedded"": 1}",[],1,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_B_episodes/query_plan_raw_json/series_g8_sf0_25__QG6_EpisodesOfSeries__c1_series_embedded_episodes_lookup_json,1,1,1,1,1.0,1.0,LIMIT,imdb_exec_sf0_25.series,328CCE58,AE6720E1,0,LIMIT|PROJECTION_SIMPLE|FETCH|IXSCAN,series_watchitem_id_1,True,False,True,False,True,False,False,False,True,False,False,False,True,,186514.0,252692284.0,1354.0,33783808.0,5922816.0,39706624.0,0.0,4.0,1.0,"{""_id_"": 1003520, ""avg_rating_1"": 1269760, ""primary_genre_1"": 1044480, ""series_watchitem_id_1"": 2605056}",1354.0,1354.0,5.361527820967863e-06,0.023438847859715416
series_g9_sf0.25__primary__QG6_EpisodesOfSeries__hot__r01,series_g9_sf0.25,series_g9,G9,containment_family,0.25,sf0.25,imdb_mongo_sf0.25_series_g9,Series,series,1,containment_full,['Episode'],[],[],QG6_EpisodesOfSeries,primary,hot,2,1,completed,,2026-05-29 07:13:41.811514+00:00,,,,,,,,"Testar a configuração series_g9 (G9) na família containment_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,series_embedded_episodes_lookup,find,series,"{""series_watchitem_id"": ""tt12164062""}","{""episodes_embedded"": 1}",[],1,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_B_episodes/query_plan_raw_json/series_g9_sf0_25__QG6_EpisodesOfSeries__c1_series_embedded_episodes_lookup_json,2,1,1,1,1.0,1.0,LIMIT,imdb_exec_sf0_25.series,328CCE58,AE6720E1,0,LIMIT|PROJECTION_SIMPLE|FETCH|IXSCAN,series_watchitem_id_1,True,False,True,False,True,False,False,False,True,False,False,False,True,,186514.0,480359808.0,2575.0,66191360.0,5918720.0,72110080.0,0.0,4.0,1.0,"{""_id_"": 999424, ""avg_rating_1"": 1269760, ""primary_genre_1"": 1044480, ""series_watchitem_id_1"": 2605056}",2575.0,2575.0,5.361527820967863e-06,0.012321430522347115
watchitem_g0_sf0.5__control__QG6_EpisodesOfSeries__hot__r01,watchitem_g0_sf0.5,watchitem_g0,G0,root_local_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG6_EpisodesOfSeries,control,hot,2,1,completed,,2026-05-29 07:37:39.139713+00:00,,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_5,executionStats,"""tt12164062""",,1,count_episodes_by_series,count,episodes,"{""series_watchitem_id"": ""tt12164062""}",{},[],,/home/hudson/Documents/framework_test/imdb/query_plan_full_by_groups/group_B_episodes/query_plan_raw_json/watchitem_g0_sf0_5__QG6_EpisodesOfSeries__c1_count_episodes_by_series_json,2,0,0,9299,,,COUNT,imdb_exec_sf0_5.episodes,CD31AABC,A39B17A6,0,COUNT|COUNT_SCAN,series_watchitem_id_1,False,False,False,False,False,False,False,False,False,False,False,False,True,,4589137.0,1106484857.0,241.0,242200576.0,164691968.0,406892544.0,1171456.0,3.0,1.0,"{""_id_"": 50618368, ""episode_watchitem_id_1"": 62136320, ""series_watchitem_id_1"": 51937280}",0.0,0.0,0.0,0.1488424960884937
