dataset,query_name,scale_label,run_phase,case_focus,why_selected,availability_status,query_family,query_type,selected_root,Rc,D,Re,DeltaRratio,dominant_semantic_type,dominant_semantic_detail,update_volatility_max,update_volatility_class,observed_sharedness_max,observed_sharedness_class,is_write_query,activated_g_classes,activation_evidence,measured_g_classes,measured_config_count,primary_g_classes,secondary_affected_g_classes,control_g_classes,global_best_config_id,global_best_g_class,global_best_g_label,global_best_benchmark_group,global_best_p95_ms,near_best_g_classes,schema_lens_best_config_id,schema_lens_best_g_class,schema_lens_best_g_label,schema_lens_best_benchmark_group,schema_lens_best_p95_ms,schema_lens_top1_preserved,schema_lens_near_best_preserved,schema_lens_relative_regret,random_k_diagnostic,ablation_summary,interpretation
imdb,QG6_EpisodesOfSeries,sf0.25,hot,containment / low-sharedness traversal,Canonical IMDb containment-like case: a series retrieves its episodes. It is useful to show when embedding/containment-style candidates are semantically justified.,available,,select,Series,1.0,1.0,0.0,1.0,none,,0.0,No volatility exposure,1.0,Low sharedness,False,G7|G8|G9,G7: active / active / Baseline da família de containment para a raiz de composição.; G8: active / active / Há estrutura parte-todo com componente contido que pode ser embutido de forma reduzida.; G9: active / active / Há containment forte e estável; o embutimento completo do componente contido é candidato.,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,G7|G8|G9,G3,G0|G2|G4|G5|G6,watchitem_g2,G2,primary_document_candidate,control,0.6322362009086646,G2,series_g7,G7,containment_baseline,primary,0.9189984484692104,0,0,0.453568218884658,diagnostic_rows=1,"no_depth: top1=0.0, near=0.0, regret=0.4536, removed=G8; no_relationship_semantics: top1=0.0, near=0.0, regret=0.4536, removed=G3|G8; no_relationship_semantics_no_depth: top1=0.0, near=0.0, regret=0.4536, removed=G3|G8; no_residual_traversal: top1=0.0, near=0.0, regret=0.4536, removed=G8|G9; no_sharedness: top1=0.0, near=0.0, regret=0.4536, removed=; no_update_volatility: top1=0.0, near=0.0, regret=0.4641, removed=G7","The query is rooted at Series and has semantic profile `none` with Rc=1.00, D=1.00, Re=0.00, and DeltaRratio=1.00. This makes the case suitable for testing whether containment-aware or hybrid document candidates reduce traversal without introducing unnecessary cross-document joins. The high DeltaRratio indicates that the selected candidate can absorb most of the conceptual traversal, which supports testing embedded or containment-oriented alternatives. The measured hot-run winner is G2 (primary_document_candidate) from the `control` group, with p95=0.6322 ms. SchemaLens missed the Top-1 and the near-best region for this scale/phase; this should be treated as a failure or near-failure case with relative regret 0.4536. The best SchemaLens-selected configuration was G7 (containment_baseline), with p95=0.9190 ms."
imdb,QG6_EpisodesOfSeries,sf0.5,hot,containment / low-sharedness traversal,Canonical IMDb containment-like case: a series retrieves its episodes. It is useful to show when embedding/containment-style candidates are semantically justified.,available,,select,Series,1.0,1.0,0.0,1.0,none,,0.0,No volatility exposure,1.0,Low sharedness,False,G7|G8|G9,G7: active / active / Baseline da família de containment para a raiz de composição.; G8: active / active / Há estrutura parte-todo com componente contido que pode ser embutido de forma reduzida.; G9: active / active / Há containment forte e estável; o embutimento completo do componente contido é candidato.,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,G7|G8|G9,G3,G0|G2|G4|G5|G6,series_g7,G7,containment_baseline,primary,1.0162401005800346,G7,series_g7,G7,containment_baseline,primary,1.0162401005800346,1,1,0.0,diagnostic_rows=1,"no_depth: top1=1.0, near=1.0, regret=0.0000, removed=G8; no_relationship_semantics: top1=1.0, near=1.0, regret=0.0000, removed=G3|G8; no_relationship_semantics_no_depth: top1=1.0, near=1.0, regret=0.0000, removed=G3|G8; no_residual_traversal: top1=1.0, near=1.0, regret=0.0000, removed=G8|G9; no_sharedness: top1=1.0, near=1.0, regret=0.0000, removed=; no_update_volatility: top1=0.0, near=0.0, regret=0.4072, removed=G7","The query is rooted at Series and has semantic profile `none` with Rc=1.00, D=1.00, Re=0.00, and DeltaRratio=1.00. This makes the case suitable for testing whether containment-aware or hybrid document candidates reduce traversal without introducing unnecessary cross-document joins. The high DeltaRratio indicates that the selected candidate can absorb most of the conceptual traversal, which supports testing embedded or containment-oriented alternatives. The measured hot-run winner is G7 (containment_baseline) from the `primary` group, with p95=1.0162 ms. SchemaLens preserved the measured Top-1 configuration, so this case supports the claim that the activation matrix keeps the relevant winner inside the reduced benchmark space. The best SchemaLens-selected configuration was G7 (containment_baseline), with p95=1.0162 ms."
imdb,QG6_EpisodesOfSeries,sf1,hot,containment / low-sharedness traversal,Canonical IMDb containment-like case: a series retrieves its episodes. It is useful to show when embedding/containment-style candidates are semantically justified.,available,,select,Series,1.0,1.0,0.0,1.0,none,,0.0,No volatility exposure,1.0,Low sharedness,False,G7|G8|G9,G7: active / active / Baseline da família de containment para a raiz de composição.; G8: active / active / Há estrutura parte-todo com componente contido que pode ser embutido de forma reduzida.; G9: active / active / Há containment forte e estável; o embutimento completo do componente contido é candidato.,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,G7|G8|G9,G3,G0|G2|G4|G5|G6,series_g7,G7,containment_baseline,primary,2.2719003987731408,G4|G6|G7,series_g7,G7,containment_baseline,primary,2.2719003987731408,1,1,0.0,diagnostic_rows=1,"no_depth: top1=1.0, near=1.0, regret=0.0000, removed=G8; no_relationship_semantics: top1=1.0, near=1.0, regret=0.0000, removed=G3|G8; no_relationship_semantics_no_depth: top1=1.0, near=1.0, regret=0.0000, removed=G3|G8; no_residual_traversal: top1=1.0, near=1.0, regret=0.0000, removed=G8|G9; no_sharedness: top1=1.0, near=1.0, regret=0.0000, removed=; no_update_volatility: top1=0.0, near=0.0, regret=0.0982, removed=G7","The query is rooted at Series and has semantic profile `none` with Rc=1.00, D=1.00, Re=0.00, and DeltaRratio=1.00. This makes the case suitable for testing whether containment-aware or hybrid document candidates reduce traversal without introducing unnecessary cross-document joins. The high DeltaRratio indicates that the selected candidate can absorb most of the conceptual traversal, which supports testing embedded or containment-oriented alternatives. The measured hot-run winner is G7 (containment_baseline) from the `primary` group, with p95=2.2719 ms. SchemaLens preserved the measured Top-1 configuration, so this case supports the claim that the activation matrix keeps the relevant winner inside the reduced benchmark space. The best SchemaLens-selected configuration was G7 (containment_baseline), with p95=2.2719 ms."
imdb,QG10_AdvancedSearchWatchItems,sf0.25,hot,association / sharedness / filtered search,IMDb query with high sharedness and filter pressure over WatchItem-related structures. It helps explain why SchemaLens must consider trade-offs beyond simple containment.,available,,select,WatchItem,4.0,1.0,0.0,1.0,none,,0.1,Low volatility exposure,644278.0,High sharedness,False,G0|G2|G3,"G0: active / active / Baseline documental principal para a raiz selecionada.; G2: active / active / A matriz indica descritor compartilhado próximo da raiz, com absorção total rasa e baixa volatilidade.; G3: active / active / A matriz indica subtipo/componente estrutural próximo da raiz, com ganho raso e baixa volatilidade.",G0|G2|G3|G4|G5|G6|G7|G8|G9,9,G0|G2|G3,G4|G5|G6|G7|G8|G9,,series_g9,G9,hybrid_containment,secondary_affected,115.31208974847686,G0|G3|G7|G8|G9,series_g9,G9,hybrid_containment,secondary_affected,115.31208974847686,1,1,0.0,diagnostic_rows=1,"no_depth: top1=1.0, near=1.0, regret=0.0000, removed=G4|G8; no_relationship_semantics: top1=1.0, near=1.0, regret=0.0000, removed=G2|G3|G5|G6|G8; no_relationship_semantics_no_depth: top1=1.0, near=1.0, regret=0.0000, removed=G2|G3|G4|G5|G6|G8; no_residual_traversal: top1=0.0, near=1.0, regret=0.0227, removed=G4|G8|G9; no_sharedness: top1=1.0, near=1.0, regret=0.0000, removed=G5|G6; no_update_volatility: top1=1.0, near=1.0, regret=0.0000, removed=G7","The query is rooted at WatchItem and has semantic profile `none` with Rc=4.00, D=1.00, Re=0.00, and DeltaRratio=1.00. The query is not a pure lookup; it depends on relationship traversal, so relationship semantics are expected to influence which document configurations should be benchmarked. The high DeltaRratio indicates that the selected candidate can absorb most of the conceptual traversal, which supports testing embedded or containment-oriented alternatives. The sharedness signal warns against interpreting embedding as automatically best, because highly shared entities can create duplication and maintenance pressure. The measured hot-run winner is G9 (hybrid_containment) from the `secondary_affected` group, with p95=115.3121 ms. SchemaLens preserved the measured Top-1 configuration, so this case supports the claim that the activation matrix keeps the relevant winner inside the reduced benchmark space. The best SchemaLens-selected configuration was G9 (hybrid_containment), with p95=115.3121 ms."
imdb,QG10_AdvancedSearchWatchItems,sf0.5,hot,association / sharedness / filtered search,IMDb query with high sharedness and filter pressure over WatchItem-related structures. It helps explain why SchemaLens must consider trade-offs beyond simple containment.,available,,select,WatchItem,4.0,1.0,0.0,1.0,none,,0.1,Low volatility exposure,644278.0,High sharedness,False,G0|G2|G3,"G0: active / active / Baseline documental principal para a raiz selecionada.; G2: active / active / A matriz indica descritor compartilhado próximo da raiz, com absorção total rasa e baixa volatilidade.; G3: active / active / A matriz indica subtipo/componente estrutural próximo da raiz, com ganho raso e baixa volatilidade.",G0|G2|G3|G4|G5|G6|G7|G8|G9,9,G0|G2|G3,G4|G5|G6|G7|G8|G9,,series_g7,G7,containment_baseline,secondary_affected,171.64141285902582,G0|G2|G3|G4|G7|G8|G9,series_g7,G7,containment_baseline,secondary_affected,171.64141285902582,1,1,0.0,diagnostic_rows=1,"no_depth: top1=1.0, near=1.0, regret=0.0000, removed=G4|G8; no_relationship_semantics: top1=1.0, near=1.0, regret=0.0000, removed=G2|G3|G5|G6|G8; no_relationship_semantics_no_depth: top1=1.0, near=1.0, regret=0.0000, removed=G2|G3|G4|G5|G6|G8; no_residual_traversal: top1=1.0, near=1.0, regret=0.0000, removed=G4|G8|G9; no_sharedness: top1=1.0, near=1.0, regret=0.0000, removed=G5|G6; no_update_volatility: top1=0.0, near=1.0, regret=0.0003, removed=G7","The query is rooted at WatchItem and has semantic profile `none` with Rc=4.00, D=1.00, Re=0.00, and DeltaRratio=1.00. The query is not a pure lookup; it depends on relationship traversal, so relationship semantics are expected to influence which document configurations should be benchmarked. The high DeltaRratio indicates that the selected candidate can absorb most of the conceptual traversal, which supports testing embedded or containment-oriented alternatives. The sharedness signal warns against interpreting embedding as automatically best, because highly shared entities can create duplication and maintenance pressure. The measured hot-run winner is G7 (containment_baseline) from the `secondary_affected` group, with p95=171.6414 ms. SchemaLens preserved the measured Top-1 configuration, so this case supports the claim that the activation matrix keeps the relevant winner inside the reduced benchmark space. The best SchemaLens-selected configuration was G7 (containment_baseline), with p95=171.6414 ms."
imdb,QG10_AdvancedSearchWatchItems,sf1,hot,association / sharedness / filtered search,IMDb query with high sharedness and filter pressure over WatchItem-related structures. It helps explain why SchemaLens must consider trade-offs beyond simple containment.,available,,select,WatchItem,4.0,1.0,0.0,1.0,none,,0.1,Low volatility exposure,644278.0,High sharedness,False,G0|G2|G3,"G0: active / active / Baseline documental principal para a raiz selecionada.; G2: active / active / A matriz indica descritor compartilhado próximo da raiz, com absorção total rasa e baixa volatilidade.; G3: active / active / A matriz indica subtipo/componente estrutural próximo da raiz, com ganho raso e baixa volatilidade.",G0|G2|G3|G4|G5|G6|G7|G8|G9,9,G0|G2|G3,G4|G5|G6|G7|G8|G9,,series_g9,G9,hybrid_containment,secondary_affected,299.80202334627387,G0|G2|G3|G7|G8|G9,series_g9,G9,hybrid_containment,secondary_affected,299.80202334627387,1,1,0.0,diagnostic_rows=1,"no_depth: top1=1.0, near=1.0, regret=0.0000, removed=G4|G8; no_relationship_semantics: top1=1.0, near=1.0, regret=0.0000, removed=G2|G3|G5|G6|G8; no_relationship_semantics_no_depth: top1=1.0, near=1.0, regret=0.0000, removed=G2|G3|G4|G5|G6|G8; no_residual_traversal: top1=0.0, near=1.0, regret=0.0018, removed=G4|G8|G9; no_sharedness: top1=1.0, near=1.0, regret=0.0000, removed=G5|G6; no_update_volatility: top1=1.0, near=1.0, regret=0.0000, removed=G7","The query is rooted at WatchItem and has semantic profile `none` with Rc=4.00, D=1.00, Re=0.00, and DeltaRratio=1.00. The query is not a pure lookup; it depends on relationship traversal, so relationship semantics are expected to influence which document configurations should be benchmarked. The high DeltaRratio indicates that the selected candidate can absorb most of the conceptual traversal, which supports testing embedded or containment-oriented alternatives. The sharedness signal warns against interpreting embedding as automatically best, because highly shared entities can create duplication and maintenance pressure. The measured hot-run winner is G9 (hybrid_containment) from the `secondary_affected` group, with p95=299.8020 ms. SchemaLens preserved the measured Top-1 configuration, so this case supports the claim that the activation matrix keeps the relevant winner inside the reduced benchmark space. The best SchemaLens-selected configuration was G9 (hybrid_containment), with p95=299.8020 ms."
fiben,Q10_CreateAccountHoldingAndBuyTransaction,sf1,hot,update + relationship creation,Write-oriented FIBEN case with relationship creation and high update pressure. It helps show that SchemaLens does not blindly prefer embedding for every traversal.,available,Update / insertion with relationship creation,insert,Person,5.0,3.0,0.0,1.0,mixed,"['association', 'containment', 'ownership', 'subtype']",1.0,high,0.2958825,medium,True,G2|G3|G4|G5|G7|G9,G2: active / active / The query touches containment relationships suitable for nested document structures. / Root with contained children; G3: active / active / The query touches associative relationships that may require embedded summaries or references. / Root with associated references; G4: active / active / The query has a deep traversal profile and benefits from a multi-level document structure. / Deep nested traversal document; G5: active / active / The query touches shared target entities; reference-oriented design or controlled duplication should be considered. / Shared target reference strategy; G7: active / active / The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance. / Update-aware document strategy; G9: active / active / The query has a design trade-off that should be validated through benchmark alternatives. / Benchmark-required trade-off candidate,CONTROL|G2|G3|G4|G5|G7|G9,7,G2|G3|G4|G5,G7|G9,CONTROL,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,Benchmark-required trade-off candidate,secondary_affected,0.5755637714173645,G9,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,Benchmark-required trade-off candidate,secondary_affected,0.5755637714173645,1,1,0.0,diagnostic_rows=1,"no_depth: top1=1.0, near=1.0, regret=0.0000, removed=G2|G4; no_relationship_semantics: top1=1.0, near=1.0, regret=0.0000, removed=G2|G3|G5; no_relationship_semantics_no_depth: top1=1.0, near=1.0, regret=0.0000, removed=G2|G3|G4|G5; no_residual_traversal: top1=0.0, near=0.0, regret=0.1134, removed=G4|G9; no_sharedness: top1=1.0, near=1.0, regret=0.0000, removed=G5; no_update_volatility: top1=1.0, near=1.0, regret=0.0000, removed=G7","The query is rooted at Person and has semantic profile `mixed` with Rc=5.00, D=3.00, Re=0.00, and DeltaRratio=1.00. The depth signal is important because the workload traverses several conceptual hops; removing depth from the activation logic should therefore make the selected space less reliable. The high DeltaRratio indicates that the selected candidate can absorb most of the conceptual traversal, which supports testing embedded or containment-oriented alternatives. The update-volatility signal is relevant here; a good result for a reference or hybrid class means that SchemaLens is capturing the maintenance cost of overly embedded designs, not only read locality. The sharedness signal warns against interpreting embedding as automatically best, because highly shared entities can create duplication and maintenance pressure. The measured hot-run winner is G9 (Benchmark-required trade-off candidate) from the `secondary_affected` group, with p95=0.5756 ms. SchemaLens preserved the measured Top-1 configuration, so this case supports the claim that the activation matrix keeps the relevant winner inside the reduced benchmark space. The best SchemaLens-selected configuration was G9 (Benchmark-required trade-off candidate), with p95=0.5756 ms."
fiben,Q10_CreateAccountHoldingAndBuyTransaction,sf10,hot,update + relationship creation,Write-oriented FIBEN case with relationship creation and high update pressure. It helps show that SchemaLens does not blindly prefer embedding for every traversal.,available,Update / insertion with relationship creation,insert,Person,5.0,3.0,0.0,1.0,mixed,"['association', 'containment', 'ownership', 'subtype']",1.0,high,0.2958825,medium,True,G2|G3|G4|G5|G7|G9,G2: active / active / The query touches containment relationships suitable for nested document structures. / Root with contained children; G3: active / active / The query touches associative relationships that may require embedded summaries or references. / Root with associated references; G4: active / active / The query has a deep traversal profile and benefits from a multi-level document structure. / Deep nested traversal document; G5: active / active / The query touches shared target entities; reference-oriented design or controlled duplication should be considered. / Shared target reference strategy; G7: active / active / The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance. / Update-aware document strategy; G9: active / active / The query has a design trade-off that should be validated through benchmark alternatives. / Benchmark-required trade-off candidate,CONTROL|G2|G3|G4|G5|G7|G9,7,G2|G3|G4|G5,G7|G9,CONTROL,q10_create_account_holding_and_buy_transaction__g3__association_references,G3,Root with associated references,primary,0.4270611854735761,G2|G3,q10_create_account_holding_and_buy_transaction__g3__association_references,G3,Root with associated references,primary,0.4270611854735761,1,1,0.0,diagnostic_rows=1,"no_depth: top1=1.0, near=1.0, regret=0.0000, removed=G2|G4; no_relationship_semantics: top1=0.0, near=0.0, regret=0.1573, removed=G2|G3|G5; no_relationship_semantics_no_depth: top1=0.0, near=0.0, regret=0.8705, removed=G2|G3|G4|G5; no_residual_traversal: top1=1.0, near=1.0, regret=0.0000, removed=G4|G9; no_sharedness: top1=1.0, near=1.0, regret=0.0000, removed=G5; no_update_volatility: top1=1.0, near=1.0, regret=0.0000, removed=G7","The query is rooted at Person and has semantic profile `mixed` with Rc=5.00, D=3.00, Re=0.00, and DeltaRratio=1.00. The depth signal is important because the workload traverses several conceptual hops; removing depth from the activation logic should therefore make the selected space less reliable. The high DeltaRratio indicates that the selected candidate can absorb most of the conceptual traversal, which supports testing embedded or containment-oriented alternatives. The update-volatility signal is relevant here; a good result for a reference or hybrid class means that SchemaLens is capturing the maintenance cost of overly embedded designs, not only read locality. The sharedness signal warns against interpreting embedding as automatically best, because highly shared entities can create duplication and maintenance pressure. The measured hot-run winner is G3 (Root with associated references) from the `primary` group, with p95=0.4271 ms. SchemaLens preserved the measured Top-1 configuration, so this case supports the claim that the activation matrix keeps the relevant winner inside the reduced benchmark space. The best SchemaLens-selected configuration was G3 (Root with associated references), with p95=0.4271 ms."
fiben,Q10_CreateAccountHoldingAndBuyTransaction,sf30,hot,update + relationship creation,Write-oriented FIBEN case with relationship creation and high update pressure. It helps show that SchemaLens does not blindly prefer embedding for every traversal.,available,Update / insertion with relationship creation,insert,Person,5.0,3.0,0.0,1.0,mixed,"['association', 'containment', 'ownership', 'subtype']",1.0,high,0.2958825,medium,True,G2|G3|G4|G5|G7|G9,G2: active / active / The query touches containment relationships suitable for nested document structures. / Root with contained children; G3: active / active / The query touches associative relationships that may require embedded summaries or references. / Root with associated references; G4: active / active / The query has a deep traversal profile and benefits from a multi-level document structure. / Deep nested traversal document; G5: active / active / The query touches shared target entities; reference-oriented design or controlled duplication should be considered. / Shared target reference strategy; G7: active / active / The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance. / Update-aware document strategy; G9: active / active / The query has a design trade-off that should be validated through benchmark alternatives. / Benchmark-required trade-off candidate,CONTROL|G2|G3|G4|G5|G7|G9,7,G2|G3|G4|G5,G7|G9,CONTROL,q10_create_account_holding_and_buy_transaction__g7__update_aware_references,G7,Update-aware document strategy,secondary_affected,0.6190445506945252,G2|G5|G7|G9,q10_create_account_holding_and_buy_transaction__g7__update_aware_references,G7,Update-aware document strategy,secondary_affected,0.6190445506945252,1,1,0.0,diagnostic_rows=1,"no_depth: top1=1.0, near=1.0, regret=0.0000, removed=G2|G4; no_relationship_semantics: top1=1.0, near=1.0, regret=0.0000, removed=G2|G3|G5; no_relationship_semantics_no_depth: top1=1.0, near=1.0, regret=0.0000, removed=G2|G3|G4|G5; no_residual_traversal: top1=1.0, near=1.0, regret=0.0000, removed=G4|G9; no_sharedness: top1=1.0, near=1.0, regret=0.0000, removed=G5; no_update_volatility: top1=0.0, near=1.0, regret=0.0030, removed=G7","The query is rooted at Person and has semantic profile `mixed` with Rc=5.00, D=3.00, Re=0.00, and DeltaRratio=1.00. The depth signal is important because the workload traverses several conceptual hops; removing depth from the activation logic should therefore make the selected space less reliable. The high DeltaRratio indicates that the selected candidate can absorb most of the conceptual traversal, which supports testing embedded or containment-oriented alternatives. The update-volatility signal is relevant here; a good result for a reference or hybrid class means that SchemaLens is capturing the maintenance cost of overly embedded designs, not only read locality. The sharedness signal warns against interpreting embedding as automatically best, because highly shared entities can create duplication and maintenance pressure. The measured hot-run winner is G7 (Update-aware document strategy) from the `secondary_affected` group, with p95=0.6190 ms. SchemaLens preserved the measured Top-1 configuration, so this case supports the claim that the activation matrix keeps the relevant winner inside the reduced benchmark space. The best SchemaLens-selected configuration was G7 (Update-aware document strategy), with p95=0.6190 ms."
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,sf1,hot,deep traversal,"Deep FIBEN traversal from Person through account, holding, security, and company. It is useful for explaining the role of depth and residual traversal.",available,Deep traversal,select,Person,4.0,4.0,0.0,1.0,mixed,"['association', 'containment', 'ownership']",1.0,high,0.2958825,medium,False,G2|G3|G4|G5|G7|G9,G2: active / active / The query touches containment relationships suitable for nested document structures. / Root with contained children; G3: active / active / The query touches associative relationships that may require embedded summaries or references. / Root with associated references; G4: active / active / The query has a deep traversal profile and benefits from a multi-level document structure. / Deep nested traversal document; G5: active / active / The query touches shared target entities; reference-oriented design or controlled duplication should be considered. / Shared target reference strategy; G7: active / active / The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance. / Update-aware document strategy; G9: active / active / The query has a design trade-off that should be validated through benchmark alternatives. / Benchmark-required trade-off candidate,CONTROL|G2|G3|G4|G5|G7|G9,7,G2|G3|G4|G5,G7|G9,CONTROL,q4_companies_reached_from_person_through_account_holding_listed_security__control__normalized_reference_baseline,CONTROL,,control,1.0028332064393908,CONTROL,q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,G4,Deep nested traversal document,primary,1.1840534221846608,0,0,0.18070823201866382,diagnostic_rows=1,"no_depth: top1=0.0, near=0.0, regret=0.2647, removed=G2|G4; no_relationship_semantics: top1=0.0, near=0.0, regret=0.1807, removed=G2|G3|G5; no_relationship_semantics_no_depth: top1=0.0, near=0.0, regret=0.3343, removed=G2|G3|G4|G5; no_residual_traversal: top1=0.0, near=0.0, regret=0.2647, removed=G4|G9; no_sharedness: top1=0.0, near=0.0, regret=0.1807, removed=G5; no_update_volatility: top1=0.0, near=0.0, regret=0.1807, removed=G7","The query is rooted at Person and has semantic profile `mixed` with Rc=4.00, D=4.00, Re=0.00, and DeltaRratio=1.00. The depth signal is important because the workload traverses several conceptual hops; removing depth from the activation logic should therefore make the selected space less reliable. The high DeltaRratio indicates that the selected candidate can absorb most of the conceptual traversal, which supports testing embedded or containment-oriented alternatives. The update-volatility signal is relevant here; a good result for a reference or hybrid class means that SchemaLens is capturing the maintenance cost of overly embedded designs, not only read locality. The sharedness signal warns against interpreting embedding as automatically best, because highly shared entities can create duplication and maintenance pressure. The measured hot-run winner is CONTROL () from the `control` group, with p95=1.0028 ms. SchemaLens missed the Top-1 and the near-best region for this scale/phase; this should be treated as a failure or near-failure case with relative regret 0.1807. The best SchemaLens-selected configuration was G4 (Deep nested traversal document), with p95=1.1841 ms."
