dataset,query_name,semantic_family,expected_experiment,query_plan_files_found,example_query_plan_files,main_physical_signal,status
imdb,QG1_WatchItemById,local lookup,,63,analysis/generated/query_plan/imdb/qg9_validation/query_plan_component_results_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_component_results_qg9_sf1.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_results_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_results_qg9_sf1.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_component_results_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_summary_results_group_A.csv | analysis/generated/query_plan/imdb/group_B_episodes/query_plan_component_results_group_B.csv | analysis/generated/query_plan/imdb/group_B_episodes/query_plan_summary_results_group_B.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_component_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_summary_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_component_results_group_C_roles_sf025.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_summary_results_group_C_roles_sf025.csv,indexed lookup over WatchItem or specialized candidate root,candidate_files_found
imdb,QG2_WatchItemByTitle,filtered lookup,,63,analysis/generated/query_plan/imdb/qg9_validation/query_plan_component_results_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_component_results_qg9_sf1.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_results_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_results_qg9_sf1.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_component_results_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_summary_results_group_A.csv | analysis/generated/query_plan/imdb/group_B_episodes/query_plan_component_results_group_B.csv | analysis/generated/query_plan/imdb/group_B_episodes/query_plan_summary_results_group_B.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_component_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_summary_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_component_results_group_C_roles_sf025.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_summary_results_group_C_roles_sf025.csv,title-based indexed lookup over WatchItem-oriented candidates,candidate_files_found
imdb,QG3_RecommendationByGenreAndSubtype,association / recommendation,IMDb group A query-plan,63,analysis/generated/query_plan/imdb/qg9_validation/query_plan_component_results_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_component_results_qg9_sf1.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_results_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_results_qg9_sf1.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_component_results_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_summary_results_group_A.csv | analysis/generated/query_plan/imdb/group_B_episodes/query_plan_component_results_group_B.csv | analysis/generated/query_plan/imdb/group_B_episodes/query_plan_summary_results_group_B.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_component_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_summary_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_component_results_group_C_roles_sf025.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_summary_results_group_C_roles_sf025.csv,genre/subtype predicates and candidate root specialization,candidate_files_found
imdb,QG4_AllPersonsOfTypeForWatchItem,associative,IMDb group C roles query-plan,73,analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_component_results_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_summary_results_group_A.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_component_results_group_C_roles_sf025.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_summary_results_group_C_roles_sf025.csv | analysis/generated/query_plan/imdb/group_C_roles_sf050/query_plan_component_results_group_C_roles_sf050.csv | analysis/generated/query_plan/imdb/group_C_roles_sf050/query_plan_summary_results_group_C_roles_sf050.csv | analysis/generated/query_plan/imdb/group_C_roles_sf1_assoc_only/query_plan_component_results_group_C_roles_sf1_assoc_only.csv | analysis/generated/query_plan/imdb/group_C_roles_sf1_assoc_only/query_plan_summary_results_group_C_roles_sf1_assoc_only.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/collection_swap_summary_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_status_summary_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/scale_db_initialization_summary_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/selected_experiments_summary_group_A.csv,bridge/role traversal and indexed person access,candidate_files_found
imdb,QG5_AllPersonsForEpisodesOfSeries,deep associative / containment-affected,IMDb group C QG5 with episodes query-plan,79,analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_component_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_summary_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/collection_swap_summary_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_status_summary_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/scale_db_initialization_summary_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/selected_experiments_summary_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_component_results_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_summary_results_group_A.csv | analysis/generated/query_plan/imdb/group_B_episodes/query_plan_component_results_group_B.csv | analysis/generated/query_plan/imdb/group_B_episodes/query_plan_summary_results_group_B.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/benchmark_run_manifest_group_C_qg5_sf1_assoc_only_with_episodes.json | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/execution_group_C_qg5_sf1_assoc_only_with_episodes.log,episode traversal combined with role/person access,candidate_files_found
imdb,QG6_EpisodesOfSeries,containment,IMDb group B / QG6 containment query-plan,69,analysis/generated/query_plan/imdb/group_B_episodes/query_plan_component_results_group_B.csv | analysis/generated/query_plan/imdb/group_B_episodes/query_plan_summary_results_group_B.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_component_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_summary_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_B_episodes/collection_swap_summary_group_B.csv | analysis/generated/query_plan/imdb/group_B_episodes/query_plan_status_summary_group_B.csv | analysis/generated/query_plan/imdb/group_B_episodes/scale_db_initialization_summary_group_B.csv | analysis/generated/query_plan/imdb/group_B_episodes/selected_experiments_summary_group_B.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/collection_swap_summary_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_status_summary_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/scale_db_initialization_summary_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/selected_experiments_summary_group_C_qg5_sf1_assoc_only_with_episodes.csv,COUNT_SCAN over external episodes versus embedded series document size,candidate_files_found
imdb,QG7_UpdateWatchItemMetadata,update,,63,analysis/generated/query_plan/imdb/qg9_validation/query_plan_component_results_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_component_results_qg9_sf1.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_results_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_results_qg9_sf1.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_component_results_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_summary_results_group_A.csv | analysis/generated/query_plan/imdb/group_B_episodes/query_plan_component_results_group_B.csv | analysis/generated/query_plan/imdb/group_B_episodes/query_plan_summary_results_group_B.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_component_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_summary_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_component_results_group_C_roles_sf025.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_summary_results_group_C_roles_sf025.csv,update maintenance over WatchItem-oriented physical layouts,candidate_files_found
imdb,QG8_AddPersonRoleToWatchItem,insert / associative update,IMDb group D update/insert query-plan,76,analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_component_results_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_summary_results_group_A.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_component_results_group_C_roles_sf025.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_summary_results_group_C_roles_sf025.csv | analysis/generated/query_plan/imdb/group_C_roles_sf050/query_plan_component_results_group_C_roles_sf050.csv | analysis/generated/query_plan/imdb/group_C_roles_sf050/query_plan_summary_results_group_C_roles_sf050.csv | analysis/generated/query_plan/imdb/group_C_roles_sf1_assoc_only/query_plan_component_results_group_C_roles_sf1_assoc_only.csv | analysis/generated/query_plan/imdb/group_C_roles_sf1_assoc_only/query_plan_summary_results_group_C_roles_sf1_assoc_only.csv | analysis/generated/query_plan/imdb/group_D_insert_qg8/query_plan_component_results_group_D.csv | analysis/generated/query_plan/imdb/group_D_insert_qg8/query_plan_summary_results_group_D.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/collection_swap_summary_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_status_summary_group_A.csv,insert/update maintenance path for associative Role structures,candidate_files_found
imdb,QG9_TopRatedSeriesByGenre,ranking / containment-affected,IMDb QG9 validation,91,analysis/generated/query_plan/imdb/qg9_validation/query_plan_component_results_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_component_results_qg9_sf1.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_results_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_results_qg9_sf1.csv | analysis/generated/query_plan/imdb/qg9_validation/collection_swap_summary_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/collection_swap_summary_qg9_sf1.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_components_qg9_all_sfs.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_status_summary_qg9_all_sfs.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_status_summary_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_status_summary_qg9_sf1.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_qg9_all_sfs.csv | analysis/generated/query_plan/imdb/qg9_validation/scale_db_initialization_summary_qg9_sf025_sf050.csv,generic watchitems root versus specialized series root,candidate_files_found
imdb,QG10_AdvancedSearchWatchItems,filtered search,IMDb group A or filtered-search query-plan,63,analysis/generated/query_plan/imdb/qg9_validation/query_plan_component_results_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_component_results_qg9_sf1.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_results_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_summary_results_qg9_sf1.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_component_results_group_A.csv | analysis/generated/query_plan/imdb/group_A_light_no_roles/query_plan_summary_results_group_A.csv | analysis/generated/query_plan/imdb/group_B_episodes/query_plan_component_results_group_B.csv | analysis/generated/query_plan/imdb/group_B_episodes/query_plan_summary_results_group_B.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_component_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_qg5_sf1_assoc_only_with_episodes/query_plan_summary_results_group_C_qg5_sf1_assoc_only_with_episodes.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_component_results_group_C_roles_sf025.csv | analysis/generated/query_plan/imdb/group_C_roles_sf025/query_plan_summary_results_group_C_roles_sf025.csv,multi-predicate filtered search over WatchItem-oriented candidates,candidate_files_found
