relationship_name,source_entity,target_entity,relationship_kind,applied_rule,logical_representation,physical_role,owning_root_entity,owning_collection,secondary_entity,secondary_collection,embedded_field_name,reference_field_name,top_entity_selection_reason,observed_cardinality,confidence_status,hint_confidence,avg_source_to_target,avg_target_to_source,source_view,target_view,bridge_view,selected_source_column,selected_target_column,bridge_source_column,bridge_target_column,materialization_note
buy_transaction_is_transaction,Transaction,BuyTransaction,generalization,RULE_1_SUPERCLASS_FOCUSED,fold_subclass_into_superclass_or_discriminator,specialize_or_fold,Transaction,lmm_transaction,BuyTransaction,lmm_buy_transaction,buy_transaction,buy_transaction_ref,hierarchy_supertype,observed_1_to_1,needs_review_medium_hint_confidence,medium,1.0,1.0,fiben_buy_transactions,fiben_transactions,,SECURITIESTRANSACTIONID,SECURITIESTRANSACTIONID,,,"Apply hierarchy conversion: fold subclass, preserve specialization, or keep discriminator according to the applied rule."
sell_transaction_is_transaction,Transaction,SellTransaction,generalization,RULE_3_HIERARCHY_FOCUSED,preserve_subtype_as_logical_specialization,specialize_or_fold,Transaction,lmm_transaction,SellTransaction,lmm_sell_transaction,sell_transaction,sell_transaction_ref,hierarchy_supertype,observed_1_to_1,needs_review_medium_hint_confidence,medium,1.0,1.0,fiben_sell_transactions,fiben_transactions,,SECURITIESTRANSACTIONID,SECURITIESTRANSACTIONID,,,"Apply hierarchy conversion: fold subclass, preserve specialization, or keep discriminator according to the applied rule."
transaction_refers_to_listed_security,Transaction,ListedSecurity,association,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,embed,Transaction,lmm_transaction,ListedSecurity,lmm_listed_security,listed_security,listed_security_ref,source_has_equal_or_higher_gaf,observed_N_to_M,high_confidence_observed,high,1.0,72.85974499089254,fiben_transactions,fiben_listed_securities,,REFERSTO,LISTEDSECURITYID,,,"Materialize secondary entity as an embedded block/array inside the owning collection. If the same secondary entity is also a root elsewhere, duplication is expected and must be documented."
financial_report_contains_report_element,FinancialReport,ReportElement,containment,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,embed,FinancialReport,lmm_financial_report,ReportElement,lmm_report_element,report_element,report_element_ref,source_entity_preserved_for_containment,observed_N_to_M,high_confidence_observed,high,4.140701020682801,55.77244841048522,fiben_reports,fiben_report_elements,,FINANCIALREPORTID,ISMEMBEROF,,,"Materialize secondary entity as an embedded block/array inside the owning collection. If the same secondary entity is also a root elsewhere, duplication is expected and must be documented."
corporation_has_financial_report,Corporation,FinancialReport,containment,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,embed,Corporation,lmm_corporation,FinancialReport,lmm_financial_report,financial_report,financial_report_ref,source_entity_preserved_for_containment,observed_N_to_M,high_confidence_observed,high,20.78356282271945,20.78356282271945,fiben_corporations,fiben_reports,,CORPORATIONID,ISPROVIDEDBY,,,"Materialize secondary entity as an embedded block/array inside the owning collection. If the same secondary entity is also a root elsewhere, duplication is expected and must be documented."
account_records_transaction,FinancialServiceAccount,Transaction,containment,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,embed,FinancialServiceAccount,lmm_financial_service_account,Transaction,lmm_transaction,transaction,transaction_ref,source_entity_preserved_for_containment,observed_N_to_M,high_confidence_observed,high,2.056132414927521,2.3574341686508404,fiben_financial_service_accounts,fiben_transactions,,FINANCIALSERVICEACCOUNTID,ISFACILITATEDBY,,,"Materialize secondary entity as an embedded block/array inside the owning collection. If the same secondary entity is also a root elsewhere, duplication is expected and must be documented."
person_owns_financial_service_account,Person,FinancialServiceAccount,ownership,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,embed,Person,lmm_person,FinancialServiceAccount,lmm_financial_service_account,financial_service_account,financial_service_account_ref,source_entity_preserved_for_ownership,observed_N_to_M,high_confidence_observed,high,1.941516966067864,1.9454,fiben_persons,fiben_financial_service_accounts,,PERSONID,ISOWNEDBY,,,"Materialize secondary entity as an embedded block/array inside the owning collection. If the same secondary entity is also a root elsewhere, duplication is expected and must be documented."
account_has_holding,FinancialServiceAccount,Holding,containment,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,embed,FinancialServiceAccount,lmm_financial_service_account,Holding,lmm_holding,holding,holding_ref,source_entity_preserved_for_containment,observed_N_to_M,high_confidence_observed,high,2.056132414927521,5.487721223761833,fiben_financial_service_accounts,fiben_holdings,,FINANCIALSERVICEACCOUNTID,ISHELDBY,,,"Materialize secondary entity as an embedded block/array inside the owning collection. If the same secondary entity is also a root elsewhere, duplication is expected and must be documented."
holding_refers_to_listed_security,Holding,ListedSecurity,association,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,embed,ListedSecurity,lmm_listed_security,Holding,lmm_holding,holding,holding_ref,target_has_higher_gaf,observed_N_to_M,high_confidence_observed,high,1.0,72.85974499089254,fiben_holdings,fiben_listed_securities,,REFERSTO,LISTEDSECURITYID,,,"Materialize secondary entity as an embedded block/array inside the owning collection. If the same secondary entity is also a root elsewhere, duplication is expected and must be documented."
corporation_has_country,Corporation,Country,descriptor,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,embed,Corporation,lmm_corporation,Country,lmm_country,country,country_ref,source_entity_preserved_for_descriptor,observed_N_to_M,high_confidence_observed,high,1.0,116.2,fiben_corporations,fiben_countries,,ISDOMICILEDIN,COUNTRYID,,,"Materialize secondary entity as an embedded block/array inside the owning collection. If the same secondary entity is also a root elsewhere, duplication is expected and must be documented."
