relationship_name,source_entity,target_entity,relationship_kind,cardinality_class,applied_rule,logical_representation,top_entity,nested_or_secondary_entity,top_entity_selection_reason,source_gaf,target_gaf,relationship_gaf,source_relevant_by_maf,target_relevant_by_maf,relationship_relevant_by_maf,observed_cardinality,confidence_status,hint_confidence,avg_source_to_target,avg_target_to_source,decision_reason
buy_transaction_is_transaction,Transaction,BuyTransaction,generalization,1:1,RULE_1_SUPERCLASS_FOCUSED,fold_subclass_into_superclass_or_discriminator,Transaction,BuyTransaction,hierarchy_supertype,92.81982483121187,11.976047904191612,11.976047904191612,True,False,False,observed_1_to_1,needs_review_medium_hint_confidence,medium,1.0,1.0,"Subclass is not relevant by MAF, so the superclass-centered representation is preferred."
sell_transaction_is_transaction,Transaction,SellTransaction,generalization,1:1,RULE_3_HIERARCHY_FOCUSED,preserve_subtype_as_logical_specialization,Transaction,SellTransaction,hierarchy_supertype,92.81982483121187,80.84377692702027,80.84377692702027,True,True,True,observed_1_to_1,needs_review_medium_hint_confidence,medium,1.0,1.0,Both superclass and subclass are relevant by MAF.
transaction_refers_to_listed_security,Transaction,ListedSecurity,association,1:N,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,Transaction,ListedSecurity,source_has_equal_or_higher_gaf,92.81982483121187,29.00822822331075,88.82780886314802,True,True,True,observed_N_to_M,high_confidence_observed,high,1.0,72.85974499089254,"The relationship is binary 1:N in the conceptual model. For containment, ownership, and descriptor relationships, the conceptual source entity is preserved as the top/root. For ordinary associations, the top entity is chosen by higher GAF."
financial_report_contains_report_element,FinancialReport,ReportElement,containment,1:N,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,FinancialReport,ReportElement,source_entity_preserved_for_containment,41.5671256454389,86.05851979345955,86.05851979345955,True,True,True,observed_N_to_M,high_confidence_observed,high,4.140701020682801,55.77244841048522,"The relationship is binary 1:N in the conceptual model. For containment, ownership, and descriptor relationships, the conceptual source entity is preserved as the top/root. For ordinary associations, the top entity is chosen by higher GAF."
corporation_has_financial_report,Corporation,FinancialReport,containment,1:N,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,Corporation,FinancialReport,source_entity_preserved_for_containment,21.976047904191613,41.5671256454389,41.5671256454389,True,True,True,observed_N_to_M,high_confidence_observed,high,20.78356282271945,20.78356282271945,"The relationship is binary 1:N in the conceptual model. For containment, ownership, and descriptor relationships, the conceptual source entity is preserved as the top/root. For ordinary associations, the top entity is chosen by higher GAF."
account_records_transaction,FinancialServiceAccount,Transaction,containment,1:N,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,FinancialServiceAccount,Transaction,source_entity_preserved_for_containment,14.590618762475048,92.81982483121187,19.96007984031936,True,True,True,observed_N_to_M,high_confidence_observed,high,2.056132414927521,2.3574341686508404,"The relationship is binary 1:N in the conceptual model. For containment, ownership, and descriptor relationships, the conceptual source entity is preserved as the top/root. For ordinary associations, the top entity is chosen by higher GAF."
person_owns_financial_service_account,Person,FinancialServiceAccount,ownership,1:N,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,Person,FinancialServiceAccount,source_entity_preserved_for_ownership,7.0,14.590618762475048,13.590618762475048,False,True,False,observed_N_to_M,high_confidence_observed,high,1.941516966067864,1.9454,"The relationship is binary 1:N in the conceptual model. For containment, ownership, and descriptor relationships, the conceptual source entity is preserved as the top/root. For ordinary associations, the top entity is chosen by higher GAF."
account_has_holding,FinancialServiceAccount,Holding,containment,1:N,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,FinancialServiceAccount,Holding,source_entity_preserved_for_containment,14.590618762475048,10.040164351055264,10.040164351055264,True,False,False,observed_N_to_M,high_confidence_observed,high,2.056132414927521,5.487721223761833,"The relationship is binary 1:N in the conceptual model. For containment, ownership, and descriptor relationships, the conceptual source entity is preserved as the top/root. For ordinary associations, the top entity is chosen by higher GAF."
holding_refers_to_listed_security,Holding,ListedSecurity,association,1:N,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,ListedSecurity,Holding,target_has_higher_gaf,10.040164351055264,29.00822822331075,10.040164351055264,False,True,False,observed_N_to_M,high_confidence_observed,high,1.0,72.85974499089254,"The relationship is binary 1:N in the conceptual model. For containment, ownership, and descriptor relationships, the conceptual source entity is preserved as the top/root. For ordinary associations, the top entity is chosen by higher GAF."
corporation_has_country,Corporation,Country,descriptor,1:N,RULE_5_HIERARCHY,hierarchical_embedding_or_inner_block,Corporation,Country,source_entity_preserved_for_descriptor,21.976047904191613,2.0,2.0,True,False,False,observed_N_to_M,high_confidence_observed,high,1.0,116.2,"The relationship is binary 1:N in the conceptual model. For containment, ownership, and descriptor relationships, the conceptual source entity is preserved as the top/root. For ordinary associations, the top entity is chosen by higher GAF."
