scale_label,official_id,run_phase,candidate_id,candidate_key,component_count,component_names,total_n_returned,total_execution_time_millis,total_keys_examined,total_docs_examined,max_execution_time_millis,max_keys_examined,max_docs_examined,stage_list,index_names,collection_names,used_disk_any,all_execution_success,has_IXSCAN,has_COLLSCAN,has_FETCH,has_SORT,has_LIMIT,has_PROJECTION,has_OR,has_AND_HASH,has_AND_SORTED,has_GROUP,has_LOOKUP,has_UNWIND,has_MATCH,has_ADD_FIELDS,has_PROJECT,count_IXSCAN,count_COLLSCAN,count_FETCH,count_SORT,count_LIMIT,count_PROJECTION,count_OR,count_AND_HASH,count_AND_SORTED,count_GROUP,count_LOOKUP,count_UNWIND,count_MATCH,count_ADD_FIELDS,count_PROJECT
sf0.1,IC1,cold,ldbc_snb_ic1_g0_6aac8974,ldbc_snb_ic1_g0_6aac8974,4,ic1_g0_knows_in|ic1_g0_knows_out|ic1_g0_person_by_id|ic1_g0_persons_by_first_name,5,0,5,5,0,3,3,DB|EQ|EXPRESS_IXSCAN|FETCH|IXSCAN|LIMIT,first_name_1|person1_id_1|person2_id_1|person_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_ic1_g0_6aac8974.person_knows_person|ldbc_snb_phys_sf0_1_ldbc_snb_ic1_g0_6aac8974.persons,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0
sf0.1,IC1,cold,ldbc_snb_ic1_g3_89a97e97,ldbc_snb_ic1_g3_89a97e97,3,ic1_g3_knows_reverse_fallback|ic1_g3_persons_by_first_name|ic1_g3_root_summary,2,0,2,2,0,1,1,DB|EQ|EXPRESS_IXSCAN|FETCH|IXSCAN|LIMIT,first_name_1|person2_id_1|root_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_ic1_g3_89a97e97.person_knows_person|ldbc_snb_phys_sf0_1_ldbc_snb_ic1_g3_89a97e97.persons|ldbc_snb_phys_sf0_1_ldbc_snb_ic1_g3_89a97e97.phys_ldbc_snb_ic1_g3_89a97e97_root_summary,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0
sf0.1,IC1,hot,ldbc_snb_ic1_g0_6aac8974,ldbc_snb_ic1_g0_6aac8974,4,ic1_g0_knows_in|ic1_g0_knows_out|ic1_g0_person_by_id|ic1_g0_persons_by_first_name,5,0,5,5,0,3,3,DB|EQ|EXPRESS_IXSCAN|FETCH|IXSCAN|LIMIT,first_name_1|person1_id_1|person2_id_1|person_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_ic1_g0_6aac8974.person_knows_person|ldbc_snb_phys_sf0_1_ldbc_snb_ic1_g0_6aac8974.persons,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0
sf0.1,IC1,hot,ldbc_snb_ic1_g3_89a97e97,ldbc_snb_ic1_g3_89a97e97,3,ic1_g3_knows_reverse_fallback|ic1_g3_persons_by_first_name|ic1_g3_root_summary,2,0,2,2,0,1,1,DB|EQ|EXPRESS_IXSCAN|FETCH|IXSCAN|LIMIT,first_name_1|person2_id_1|root_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_ic1_g3_89a97e97.person_knows_person|ldbc_snb_phys_sf0_1_ldbc_snb_ic1_g3_89a97e97.persons|ldbc_snb_phys_sf0_1_ldbc_snb_ic1_g3_89a97e97.phys_ldbc_snb_ic1_g3_89a97e97_root_summary,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0
sf0.1,IC2,cold,ldbc_snb_ic2_g0_bcc20fff,ldbc_snb_ic2_g0_bcc20fff,4,ic2_g0_comments_by_friends|ic2_g0_knows_in|ic2_g0_knows_out|ic2_g0_posts_by_friends,43,6,1601,1595,4,1086,1083,DB|EQ|FETCH|IN|IXSCAN|LIMIT|SORT,creation_date_1|creator_person_id_1|person1_id_1|person2_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_ic2_g0_bcc20fff.comments|ldbc_snb_phys_sf0_1_ldbc_snb_ic2_g0_bcc20fff.person_knows_person|ldbc_snb_phys_sf0_1_ldbc_snb_ic2_g0_bcc20fff.posts,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,10,0,10,4,6,0,0,0,0,0,0,0,0,0,0
sf0.1,IC2,cold,ldbc_snb_ic2_g3_8f05f032,ldbc_snb_ic2_g3_8f05f032,7,ic2_g3_comments_by_friends|ic2_g3_friend_summary|ic2_g3_knows_reverse_fallback|ic2_g3_posts_by_friends|ic2_g3_root_summary,44,4,1602,1596,3,1086,1083,DB|EQ|EXPRESS_IXSCAN|FETCH|IN|IXSCAN|LIMIT|SORT,creation_date_1|creator_person_id_1|person2_id_1|root_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_ic2_g3_8f05f032.comments|ldbc_snb_phys_sf0_1_ldbc_snb_ic2_g3_8f05f032.person_knows_person|ldbc_snb_phys_sf0_1_ldbc_snb_ic2_g3_8f05f032.phys_ldbc_snb_ic2_g3_8f05f032_root_summary|ldbc_snb_phys_sf0_1_ldbc_snb_ic2_g3_8f05f032.posts,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,8,0,8,4,4,0,0,0,0,0,0,0,0,0,0
sf0.1,IC2,hot,ldbc_snb_ic2_g0_bcc20fff,ldbc_snb_ic2_g0_bcc20fff,4,ic2_g0_comments_by_friends|ic2_g0_knows_in|ic2_g0_knows_out|ic2_g0_posts_by_friends,43,5,1601,1595,4,1086,1083,DB|EQ|FETCH|IN|IXSCAN|LIMIT|SORT,creation_date_1|creator_person_id_1|person1_id_1|person2_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_ic2_g0_bcc20fff.comments|ldbc_snb_phys_sf0_1_ldbc_snb_ic2_g0_bcc20fff.person_knows_person|ldbc_snb_phys_sf0_1_ldbc_snb_ic2_g0_bcc20fff.posts,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,10,0,10,4,6,0,0,0,0,0,0,0,0,0,0
sf0.1,IC2,hot,ldbc_snb_ic2_g3_8f05f032,ldbc_snb_ic2_g3_8f05f032,7,ic2_g3_comments_by_friends|ic2_g3_friend_summary|ic2_g3_knows_reverse_fallback|ic2_g3_posts_by_friends|ic2_g3_root_summary,44,5,1602,1596,3,1086,1083,DB|EQ|EXPRESS_IXSCAN|FETCH|IN|IXSCAN|LIMIT|SORT,creation_date_1|creator_person_id_1|person2_id_1|root_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_ic2_g3_8f05f032.comments|ldbc_snb_phys_sf0_1_ldbc_snb_ic2_g3_8f05f032.person_knows_person|ldbc_snb_phys_sf0_1_ldbc_snb_ic2_g3_8f05f032.phys_ldbc_snb_ic2_g3_8f05f032_root_summary|ldbc_snb_phys_sf0_1_ldbc_snb_ic2_g3_8f05f032.posts,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,8,0,8,4,4,0,0,0,0,0,0,0,0,0,0
sf0.1,IC3,cold,ldbc_snb_ic3_g0_f7817cbe,ldbc_snb_ic3_g0_f7817cbe,3,ic3_ref_knows_in|ic3_ref_knows_out|ic3_ref_root_person,4,0,4,4,0,3,3,DB|EQ|EXPRESS_IXSCAN|FETCH|IXSCAN|LIMIT,person1_id_1|person2_id_1|person_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_ic3_g0_f7817cbe.person_knows_person|ldbc_snb_phys_sf0_1_ldbc_snb_ic3_g0_f7817cbe.persons,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0
sf0.1,IC3,cold,ldbc_snb_ic3_g3_f4732bc1,ldbc_snb_ic3_g3_f4732bc1,10,ic3_summary_comments_count_lookup|ic3_summary_knows_in_exact|ic3_summary_knows_out_exact|ic3_summary_posts_count_lookup|ic3_summary_root|ic3_summary_root_person,125,2,125,125,1,20,20,DB|EQ|EXPRESS_IXSCAN|FETCH|IXSCAN|LIMIT,creator_person_id_1|person1_id_1|person2_id_1|person_id_1|root_id_1,ldbc_snb_phys_sf0_1_ldbc_snb_ic3_g3_f4732bc1.comments|ldbc_snb_phys_sf0_1_ldbc_snb_ic3_g3_f4732bc1.person_knows_person|ldbc_snb_phys_sf0_1_ldbc_snb_ic3_g3_f4732bc1.persons|ldbc_snb_phys_sf0_1_ldbc_snb_ic3_g3_f4732bc1.phys_ldbc_snb_ic3_g3_f4732bc1_root_summary|ldbc_snb_phys_sf0_1_ldbc_snb_ic3_g3_f4732bc1.posts,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,16,0,16,0,16,0,0,0,0,0,0,0,0,0,0
