benchmark_run_id,experiment_id,config_name,activated_class,benchmark_family,scale_factor,scale_label,mongo_db_name,selected_root,primary_collection,embedding_depth,embedding_variant,embedded_entities,snapshot_entities,referenced_entities,query_name,query_group,run_phase,phase_order,repetition,execution_status,error_message,start_ts,end_ts,latency_ms,success,documents_returned,documents_written,bytes_read_estimate,bytes_written_estimate,experiment_goal,query_group_order,execution_db_name,explain_verbosity,param_json,notes,n_components,sum_execution_time_ms,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,docs_per_returned_total,keys_per_returned_total,has_ixscan_any,has_collscan_any,has_fetch_any,has_sort_any,has_update_any,has_and_sorted_any,has_or_stage_any,has_projection_any,has_lookup_any,has_group_any,used_disk_any,all_stages,all_index_names,component_collections,unique_component_collection_count,sum_collection_count_unique,sum_collection_size_bytes_unique,sum_collection_storage_size_bytes_unique,sum_collection_total_index_size_bytes_unique,sum_collection_total_size_bytes_unique,max_collection_avg_obj_size_bytes,sum_estimated_docs_examined_bytes,sum_estimated_returned_bytes,estimated_examined_bytes_per_returned,max_docs_examined_collection_ratio,max_index_to_data_size_ratio
watchitem_g0_sf0.25__control__QG6_EpisodesOfSeries__hot__r01,watchitem_g0_sf0.25,watchitem_g0,G0,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG6_EpisodesOfSeries,control,hot,2,1,completed,,2026-05-29 05:24:54.102037+00:00,2026-05-29 05:24:54.107256+00:00,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,1.0,0.0,0.0,4657.0,,,False,False,False,False,False,False,False,False,False,False,False,COUNT|COUNT_SCAN,series_watchitem_id_1,episodes,1,2294687.0,553264882.0,127107072.0,84254720.0,211361792.0,241.0,0.0,0.0,,0.0,0.15228640519424835
watchitem_g2_sf0.25__control__QG6_EpisodesOfSeries__hot__r01,watchitem_g2_sf0.25,watchitem_g2,G2,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']",QG6_EpisodesOfSeries,control,hot,2,1,completed,,2026-05-29 05:31:02.595704+00:00,2026-05-29 05:31:02.600387+00:00,,,,,,,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,1.0,0.0,0.0,4657.0,,,False,False,False,False,False,False,False,False,False,False,False,COUNT|COUNT_SCAN,series_watchitem_id_1,episodes,1,2294687.0,553264882.0,127107072.0,84254720.0,211361792.0,241.0,0.0,0.0,,0.0,0.15228640519424835
watchitem_g3_sf0.25__secondary_affected__QG6_EpisodesOfSeries__hot__r01,watchitem_g3_sf0.25,watchitem_g3,G3,root_local_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g3,WatchItem,watchitems,1,structural_component,"['Episode', 'Movie', 'Series']",[],['Genre'],QG6_EpisodesOfSeries,secondary_affected,hot,2,1,completed,,2026-05-29 05:37:18.392963+00:00,2026-05-29 05:37:18.396592+00:00,,,,,,,"Testar a configuração watchitem_g3 (G3) na família root_local_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,0.0,0.0,0.0,4657.0,,,False,False,False,False,False,False,False,False,False,False,False,COUNT|COUNT_SCAN,series_watchitem_id_1,episodes,1,2294687.0,553264882.0,127107072.0,84254720.0,211361792.0,241.0,0.0,0.0,,0.0,0.15228640519424835
watchitem_g4_sf0.25__control__QG6_EpisodesOfSeries__hot__r01,watchitem_g4_sf0.25,watchitem_g4,G4,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g4,WatchItem,watchitems,1,associative_partial,['Role'],[],"['Person', 'Series', 'Episode']",QG6_EpisodesOfSeries,control,hot,2,1,completed,,2026-05-29 06:01:39.272146+00:00,2026-05-29 06:01:39.276916+00:00,,,,,,,"Testar a configuração watchitem_g4 (G4) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,1.0,0.0,0.0,4657.0,,,False,False,False,False,False,False,False,False,False,False,False,COUNT|COUNT_SCAN,series_watchitem_id_1,episodes,1,2294687.0,553264882.0,127107072.0,84254720.0,211361792.0,241.0,0.0,0.0,,0.0,0.15228640519424835
watchitem_g5_sf0.25__control__QG6_EpisodesOfSeries__hot__r01,watchitem_g5_sf0.25,watchitem_g5,G5,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g5,WatchItem,watchitems,2,associative_snapshot,['Role'],['Person'],"['Series', 'Episode']",QG6_EpisodesOfSeries,control,hot,2,1,completed,,2026-05-29 06:32:19.577528+00:00,2026-05-29 06:32:19.582372+00:00,,,,,,,"Testar a configuração watchitem_g5 (G5) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,1.0,0.0,0.0,4657.0,,,False,False,False,False,False,False,False,False,False,False,False,COUNT|COUNT_SCAN,series_watchitem_id_1,episodes,1,2294687.0,553264882.0,127107072.0,84254720.0,211361792.0,241.0,0.0,0.0,,0.0,0.15228640519424835
watchitem_g6_sf0.25__control__QG6_EpisodesOfSeries__hot__r01,watchitem_g6_sf0.25,watchitem_g6,G6,associative_family,0.25,sf0.25,imdb_mongo_sf0.25_watchitem_g6,WatchItem,watchitems,2,associative_full,"['Role', 'Person']",[],"['Series', 'Episode']",QG6_EpisodesOfSeries,control,hot,2,1,completed,,2026-05-29 07:02:57.976640+00:00,2026-05-29 07:02:57.981593+00:00,,,,,,,"Testar a configuração watchitem_g6 (G6) na família associative_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,1.0,0.0,0.0,4657.0,,,False,False,False,False,False,False,False,False,False,False,False,COUNT|COUNT_SCAN,series_watchitem_id_1,episodes,1,2294687.0,553264882.0,127107072.0,84254720.0,211361792.0,241.0,0.0,0.0,,0.0,0.15228640519424835
series_g7_sf0.25__primary__QG6_EpisodesOfSeries__hot__r01,series_g7_sf0.25,series_g7,G7,containment_family,0.25,sf0.25,imdb_mongo_sf0.25_series_g7,Series,series,0,containment_baseline,[],[],['Episode'],QG6_EpisodesOfSeries,primary,hot,2,1,completed,,2026-05-29 07:08:43.006550+00:00,2026-05-29 07:08:43.012346+00:00,,,,,,,"Testar a configuração series_g7 (G7) na família containment_family em sf0.25, avaliando queries primárias, secundárias afetadas e de controle.",1,imdb_exec_sf0_25,executionStats,"""tt12164062""",,1,1.0,0.0,0.0,4657.0,,,False,False,False,False,False,False,False,False,False,False,False,COUNT|COUNT_SCAN,series_watchitem_id_1,episodes,1,2294687.0,553264882.0,127107072.0,84254720.0,211361792.0,241.0,0.0,0.0,,0.0,0.15228640519424835
watchitem_g0_sf0.5__control__QG6_EpisodesOfSeries__hot__r01,watchitem_g0_sf0.5,watchitem_g0,G0,root_local_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g0,WatchItem,watchitems,0,baseline_document,[],[],"['Genre', 'Movie', 'Series', 'Episode', 'Role', 'Person']",QG6_EpisodesOfSeries,control,hot,2,1,completed,,2026-05-29 07:37:39.139713+00:00,2026-05-29 07:37:39.147028+00:00,,,,,,,"Testar a configuração watchitem_g0 (G0) na família root_local_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_5,executionStats,"""tt12164062""",,1,2.0,0.0,0.0,9299.0,,,False,False,False,False,False,False,False,False,False,False,False,COUNT|COUNT_SCAN,series_watchitem_id_1,episodes,1,4589137.0,1106484857.0,242200576.0,164691968.0,406892544.0,241.0,0.0,0.0,,0.0,0.1488424960884937
watchitem_g2_sf0.5__control__QG6_EpisodesOfSeries__hot__r01,watchitem_g2_sf0.5,watchitem_g2,G2,root_local_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g2,WatchItem,watchitems,1,shared_descriptor,['Genre'],[],"['Movie', 'Series', 'Episode']",QG6_EpisodesOfSeries,control,hot,2,1,completed,,2026-05-29 07:52:40.726322+00:00,2026-05-29 07:52:40.732566+00:00,,,,,,,"Testar a configuração watchitem_g2 (G2) na família root_local_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",3,imdb_exec_sf0_5,executionStats,"""tt12164062""",,1,2.0,0.0,0.0,9299.0,,,False,False,False,False,False,False,False,False,False,False,False,COUNT|COUNT_SCAN,series_watchitem_id_1,episodes,1,4589137.0,1106484857.0,242200576.0,164691968.0,406892544.0,241.0,0.0,0.0,,0.0,0.1488424960884937
watchitem_g3_sf0.5__secondary_affected__QG6_EpisodesOfSeries__hot__r01,watchitem_g3_sf0.5,watchitem_g3,G3,root_local_family,0.5,sf0.5,imdb_mongo_sf0.5_watchitem_g3,WatchItem,watchitems,1,structural_component,"['Episode', 'Movie', 'Series']",[],['Genre'],QG6_EpisodesOfSeries,secondary_affected,hot,2,1,completed,,2026-05-29 08:08:02.747077+00:00,2026-05-29 08:08:02.751584+00:00,,,,,,,"Testar a configuração watchitem_g3 (G3) na família root_local_family em sf0.5, avaliando queries primárias, secundárias afetadas e de controle.",2,imdb_exec_sf0_5,executionStats,"""tt12164062""",,1,1.0,0.0,0.0,9299.0,,,False,False,False,False,False,False,False,False,False,False,False,COUNT|COUNT_SCAN,series_watchitem_id_1,episodes,1,4589137.0,1106484857.0,242200576.0,164691968.0,406892544.0,241.0,0.0,0.0,,0.0,0.1488424960884937
